,n,noise_lvl,data_type,model,TRE,TRE_STD,TESTE,TESTE_STD,E_DIFF,model_param
573,50,0.5,moons,svm,0.9505555555555556,0.003487189961438955,0.9480000000000001,0.020880613017821088,0.002555555555555533,5.0
574,50,0.5,moons,svm,0.9528888888888888,0.002775554665954843,0.9480000000000001,0.022271057451320075,0.0048888888888887205,10.0
575,50,0.5,moons,svm,0.9568888888888889,0.0031739681904634854,0.9400000000000001,0.022803508501982733,0.016888888888888842,50.0
576,100,0.0,circles,logistic,0.5034444444444445,0.007895146188218013,0.43599999999999994,0.03440930106817051,0.06744444444444453,0.001
577,100,0.0,circles,logistic,0.5002222222222221,0.014122917195942815,0.42400000000000004,0.04882622246293482,0.07622222222222208,0.01
578,100,0.0,circles,logistic,0.5078888888888888,0.005631700398877427,0.425,0.046314144707637644,0.08288888888888885,0.1
579,100,0.0,circles,logistic,0.5081111111111112,0.006593112755176378,0.425,0.050447993022517755,0.08311111111111119,0.5
580,100,0.0,circles,logistic,0.5082222222222222,0.006444444444444466,0.425,0.050447993022517755,0.08322222222222225,1.0
581,100,0.0,circles,logistic,0.5077777777777779,0.006344045521608999,0.425,0.04863126566315132,0.0827777777777779,10.0
582,100,0.0,circles,logistic,0.5077777777777779,0.006344045521608999,0.425,0.04863126566315132,0.0827777777777779,100.0
583,100,0.0,circles,svm,0.5068888888888889,0.005661217423492013,0.449,0.039102429592034305,0.057888888888888934,0.001
584,100,0.0,circles,svm,0.5075555555555555,0.007111111111111133,0.449,0.039102429592034305,0.05855555555555553,0.005
585,100,0.0,circles,svm,0.5082222222222222,0.008779887228950407,0.449,0.039102429592034305,0.05922222222222223,0.01
586,100,0.0,circles,svm,0.5738888888888889,0.02250514344503231,0.493,0.04712748667179273,0.0808888888888889,0.05
587,100,0.0,circles,svm,0.6294444444444444,0.00965132882810176,0.611,0.04229657196511319,0.018444444444444374,0.1
588,100,0.0,circles,svm,0.6313333333333333,0.004297573245736392,0.618,0.039191835884530866,0.013333333333333308,0.5
589,100,0.0,circles,svm,0.6461111111111111,0.004395564543300557,0.5929999999999999,0.031000000000000003,0.05311111111111122,5.0
590,100,0.0,circles,svm,0.6625555555555556,0.003785938897200193,0.595,0.04153311931459039,0.06755555555555559,10.0
591,100,0.0,circles,svm,0.7417777777777778,0.005286834334831267,0.568,0.03572114219898349,0.1737777777777778,50.0
592,100,0.0,moons,logistic,0.7926666666666666,0.007323225357015161,0.7839999999999999,0.047159304490206354,0.008666666666666711,0.001
593,100,0.0,moons,logistic,0.8181111111111111,0.006046119049072331,0.8139999999999998,0.046733285782191686,0.0041111111111112875,0.01
594,100,0.0,moons,logistic,0.8548888888888889,0.0031894889098682913,0.8540000000000001,0.0352703841770968,0.000888888888888828,0.1
595,100,0.0,moons,logistic,0.8610000000000001,0.003199151121975095,0.858,0.034292856398964504,0.0030000000000001137,0.5
596,100,0.0,moons,logistic,0.8612222222222222,0.0036328406053937256,0.8620000000000001,0.03544009029333871,-0.0007777777777778772,1.0
597,100,0.0,moons,logistic,0.8613333333333333,0.0042397297840753205,0.8620000000000001,0.03544009029333871,-0.0006666666666668153,10.0
598,100,0.0,moons,logistic,0.8615555555555556,0.0046134532204503845,0.8620000000000001,0.03544009029333871,-0.0004444444444444695,100.0
599,100,0.0,moons,svm,0.7946666666666667,0.0062814640111566915,0.794,0.050438080851673964,0.0006666666666667043,0.001
600,100,0.0,moons,svm,0.8391111111111111,0.0042397297840753075,0.836,0.02905167809266788,0.0031111111111111756,0.005
601,100,0.0,moons,svm,0.8484444444444446,0.005470459388929421,0.8470000000000001,0.03377869150810907,0.0014444444444444704,0.01
602,100,0.0,moons,svm,0.8597777777777778,0.0029731307022799304,0.859,0.03389690251335659,0.0007777777777777661,0.05
603,100,0.0,moons,svm,0.8716666666666667,0.003557291243018256,0.8710000000000001,0.03505709628591622,0.0006666666666665932,0.1
604,100,0.0,moons,svm,0.9365555555555556,0.0023544022333796743,0.938,0.02357965224510316,-0.0014444444444443594,0.5
605,100,0.0,moons,svm,0.9447777777777777,0.003584947956644829,0.9420000000000002,0.030919249667480594,0.002777777777777546,5.0
